label|text
-1|Schizophrenia day take morning direct sleep day till go fall smack bang wall thought get feel unsteady feel like drunk alcohol hit head walk straight sit lie feel room spinning Vertigo tell dr stop take till appt effect
-1|cancer drug arimidex give osteoporosis Took actonel bone specialist hosp tell expect acid reflux hour take pill wake night shiver ache especially upper leg nausea phone gp day await advice scared cos step nt carry oral injection nt know sife effect different choice terrible cancer drug arimadex rot bone bisphosponate make feel like m go chemo slow release capsule effect continue bad day mean week start feel slightly well dose drug suppose heal bone cause pain
-1|Osteoporosis Dysphagia inability swallow severe heartburn Onky take day terrifying lose ability swallow heartburn entire life severe chronic gerd swallowing problematic get stuck choke frequently stuff cause permanent damage
-1|Ostoclerosis take receive sharp pain rt hip later day feel chill fever severe pain call Dr day say Actonel react fast receive symptom severe go ER extremely high blood pressure think have heart attack pain tell ER Dr Actonel run test sure x ray ct scan ekg numerous blood work tell dose pain sore throat hope go away soon feel useless wish see soon BP finally get good reading read review hope later effect dose drug wish see soon
-1|Osteopenia limb feel like weight tie fever chill sweat headache muscle pain
-1|osteoporosis spine take dose evening flu like symptom fever bad morning experience bad spasm literally sit bed end transport ambulance ER doctor spend day rule possible problem experience like explore healthy natural treatment option increase intake Calcium Vitamin D supplement diet product
-1|Osteopenia Flu like symptom nausea diarrhea last day wo go increase calcium food well way drug need take market hear positive
-1|osteoporosis take dose yesterday morning pm experience horrible joint pain leg arm headache nausea burn pain breast bone extreme chill muscle spasm adrenaline rush pin needle abdomen pain severe gas pain feel sick life call doctor morning say second nt plan unfortunately long last medication symptom week appetite energy sip water get nauseous injection Prolia year half ago symptom unfortunately ingot cancer continue ACTONEL
-1|Osteoporosis Severe joint pain heartburn fever feel like ve poison
-1|osteoporosis stomach pain joint pain weakness burn joint diarrhea ridiculously sick week dose believe thankful page joint pain hahahaha think joint turn fresh lava go explode inflammatory arthritis wake writhe night need risedronate thank lady gentleman enlightening page thank web page peep good
-1|Mixed Medicines w Brother depression tired nt sleep ve rapid heart rate loss appetite alert brain fog m red stomach feel restless joint muscle kill accident mix medicine medicine little brother long take adhd horrible heart go accident mix medicine brother medicine didn t realize take quit lot medicine think muscle relaxer neck sooooo sick call poison control tell start throw badly extreme pain travel body er medicine outlaw definitely give child m glad brother stop take long time ago god u u ur struggle
-1|Edema foot fatigue concentr horrible effect pound heart high blood pressure headache magnify panic anxiety attack chest pain racing pulse try time immediately bp problem skip beat racing panic anxiety attack heart racing doc wean take mg tab x s day day go mg tab x s day thing happen raise bp heart race flutter palpitation horrible dare medicine find help reaction time try careful think heart go explode point swear die careful
-1|study college exam girlfriend take mg hrs order study exam nt sleep night day day way perky exciete day nt eat egg throught entire dosage take nap exauste early afternoon hr later check wake nt respnod high bp respriation pm try min later respond hyperventilating nt catch breath talk min keep fall asleep manage awake ready ambulance recove shortly min headche rest day want ibephrophen m concerned becasue take study nan
1|Adult ADHD space feel dry mouth day adderall prescribe mg advise tab waking tab noon need effect bad far expect short period time feel alert know normally able focus little bit well short time dry mouth noticable like tell patient nurse little hard candy water help right away optimistic hopeful help home partner work allow prescribe urge come inform psychiatrist right away think people let urge continue long inform doctor concern honest hear people opinion concern feel free contact new take adderall like curious
1|study bit insomnia anxiousness love stuff work easily abuse find site useful info www adderallsideeffect com
1|experiment alert lot talk baggy eye loss sleep loss appetite smoke alot fast movement perifrial vision sensitive eye sight piss alot ability focus buddy ask want buy check take mg day talkative friend point easy time drive car beginning feelin highish day go pill feel like effect weak wasn t bad thing prolly nt doin like sleep get bag eye day lack sleep feel fine day help studying school less form speed pill highly monitere dose d pretty fun
1|Heart Condition dry mouth loss appetite constant talk high blood pressure heart rate probably people medicine extremely low blood pressure heart rate try ton pill help constantly pass get dizzy pill help raise blood pressure stable point miracle pill continue blood pressure focus issue difference day behavior keep finger cross continue work day far good health day diagnose heart issue
1|study Mid term able study hour straight pm help focus surprisingly enjoy read history book study test read thirteen chapter twice write vocab answer practice discussion question syllabus read note multiple time notice dry mouth upset stomach halfway night stay entire night take exam feel exhausted stomach feel like knot hurt extremely bad walk dorm feel like go pass hunger know need eat feel little well cramp neck tired able fall asleep time overall worth good midterm help study incredibly nan
1|college upset stomach extream focus difficulty sleep cognative thinking increase help come study m hungry nt bother page paper tonight difficult multitask focus m consume pill pm recoment take early day
-1|c section nausea medication administer iv surgery nurse suggest new medication nausea think give medication eye open time wake sleep feeling like stop breathe hear people talk open eye couldn t nurse baby use arm tell mother time afraid truly sleep feel wake take hour wear feel groggy day definitely recommend medication vomit feel like die nan
-1|Dizziness Tired like count stay awake headache dizziness anxiety bad hate feeling bad headache take eye open body feel strange
-1|labyrinthitis inner ear vertigo knock flat fall asleep desk vertigo way way bad dose feel like float hour dose piss med extremely healthy virus cause vertigo lie left vertigo CONSTANT Doc tell discontinue use stuff AWFUL function
-1|Vertigo take m work think non drousy thing right nap desk feel nauseate good nighttime don t think work ll live extreme dizziness nausea m work
-1|Vertigo take work think non drousy thing right nap desk feel nauseate good nighttime think work live extreme dizziness nausea work
1|vertigo soooooooo tired slept day stop take medicine room spin life trade off sleep stumble like drunk have room spin
1|vertigo soooooooo tired sleep day stop take medicine room spin Life trade off sleep stumble like drunk have room spin
-1|start early mild memory Length day functional adult nonfunctional switch flip psychotic vacant personality loss bladder control speech movement slow know agitation fixate number color battery start fire house electrical problem house handle bank account unable change length time aggressive behavior scatter definitely puzzle Week onset repeat understand happen brain like hear similar experience
-1|dementia start mother aricept oclock morning daughter go house lunch feed duck mom want touch say know cry upset say know recognize caregiver want bathe tell daughter food possible lessen effect drug give usual lay bed day depressed xanax parkinson med namenda reflux med celexa crestor trazadone sleep probably bunk tonight eye frightened combative scary medicine bad effect hour feel sorry people take frightening feel badly give mom hope help memory forgetful frightened combative
-1|memory Loss Head Injuries vivid dream nausea vomiting greeting yr old man great shape suffer number head injury past occupation military background sport suffer memory loss progressively bad year neurologist give Aricept take dose night suffer nausea vomiting vivid dream mention effect nightmare aware dream usually vivid entire night hope help regard J
-1|itching bad allergy dust mite sleepy body mind go sleep wake half hr later body tremor originate chest second mind awake body fatigued like tell symptom nauseaus s hrs take pill m nauseaus barely energy motivation sit stare drool m feel movement make feel short breath m doctor concern isn t go away cure far bad symptom prescribe
-1|experience bad food allergy hour heart go tachycardia swell like giant plump tomato skin extremely hot touch especially face top leg er iv steroid benadryl counteract stuff dangerous recommend take liquid benadryl hand
-1|lupus reactive arthritis effect start medication today Prednisone cause rash sore mouth sore gum headache nausea fatigue episode lightheade confused unable word scared death wonder experience prednisone thing get well azulfidine need continue work help kid w school need know able continue
-1|neck pain drug send dad hospital speech problem confusion drowsy day hospital recommend drug
-1|Sinuses severe diarrhea muscle pain leg arm lethargic nauseous temperature regulation cold sweat reaction Cipro kill good bacteria possible Difficile
-1|UTI extreme joint pain finger neck chest knee second dose day later swell soar culture show bacteria nvr terrible
-1|skin infection severe blister rash swollen face throat happen huge blister hand inner thigh horrible recover
-1|UTI take pill start feel nauseous light head redness face urge bowel movement second day feel effect
-1|skin infection Intense nausea bad headache muscle cramp foot hand
-1|ear infection rage fever vomiting joint pain lethargy severe rash headache dizziness sore eye VILE drug ban UK
-1|infection year severe insomnia year severe insomnia maybe month anxiety depression weight loss loss appetite painful cramp leg blurry vision heart palpitation post year ago effect severe especially insomnia want come post update experience like well personally stay away Rx anxiety sleep pill develop problem night think die sort insomnia disease nope suffer body strong note similar experience Levaquin year Bactrim know wrong tolerate antibiotic psychiatric issue med extreme email question
-1|chronic gut infection tachycardia dysphoria nausea anxiety hot flash inability sleep stop dose symptom last day take Ciprofloxacin instead
-1|Paronchyia nail bed infection time take Bactrim great go day complaint month later infection return give course treatment totally different story hour develop low fever solid red rash entire body hour rash itch severe upper abdominal pain hour start cough hour short breath chill shake fever pass multiple dose antipyretic chest tight difficult breathe sit hit diagnose severe allergy sulfas cause red man syndrome great allergic kill
-1|lupus severe depression stomach pain vomiting ve have infusion month notice change don t recommend benlysta effect bad benefit nan
-1|unknown stomach gas pain min feel chest tight shortness breath anxiety prior effect race heart nap hour later go work leave hour intense tightness chest hear increase heart rate feel faintish drug nightmare time feel like zoloft time think IBS willing try cause suggestion doc antidepressant counseling
-1|osteoporosis fever chest pain headache chill bone pain believe prescribe poison take year ago believe prescribe poison prove actually cause fracture
-1|osteoporosis leave hip Extreme bloating gas day take dose relief disappointed doctor prescribe tell sensitive stomach normally
-1|Osteoporosis Severe hip pain bend forward breast cancer survivor immediately think metastasize bone culprit Boniva research take Med
-1|Osteoporosis immediate headache nausea bed day excruciating pain shoulder unable twist lay day bad plus chest pain muscle heart poison recommend band money sucking pharmaceutical ashamed
-1|osteoporosis refuse Fosamax knowledge effect class suit action MD prescribe Boniva pick rx read effect paperwork line research thank people time write atrocious experience FDA approve weapon mass destruction today feel donation cost pill great cause save organism destruction medication suppose help bone charge health possible natural resource accept prescription research shame oath harm think worry absolutely disrespectful intelligence patient
-1|osteoporosis start start diarrhea nt think frequently today MAJOR pain spasm cause pain end Urgent Care evening think UTI Kidney Infection Lo Behold come home check med effect end site love God med take large amount calcium exercise x day need excruciating pain suggest medicine
-1|osteoporosis post site year ago thank warning drug osteoporosis severe low score increase exercise routine add weight lifting wear weight vest work increase calcium magnesium green tea extract recently second bone density test completely reverse osteoporosis drug hope helpful
-1|osteoporosis horrible experience believe drug prescribe take year ago think die try Evista leg swell finally give take calcium magnesium supplement month ago break hip face read lot supplement Strontium decide go route read review Prolia scared death try anymore horrible drug pharmaceutical company come drug horrific effect
-1|low bone density Severe pain think kidney stone take medicine sit lay far stomache problem ache pain actually cry actually cry pain bad ache have hard time walk leg away walk wait system hate feel like agree poison
-1|Osteoporosis Horrible neck shoulder pain turn neck hand joint swollen continue drug
